step,sub_step,comp_time_ms,sim_time,id,prefab_id,floor,cnode_orient,cnode_pos,x,y,orient,num_vert,num_attch_points,num_occ_nodes,length,width,max_width,drive,accel,ang_speed,max_lin_speed,vel_x,vel_y,vel_theta,num_vos,itinerary_size,active,stopped,just_stopped,moved,moved_back,not_move_cost,time_block_cor,time_not_block_cor,wait
1,1,219,0.0833333,1,3,2,9,357,7.74992,3.74996,202.5,6,2,6,0.97,0.52,1.03644,50,1,128.245,1.48,0,0,128.245,0,1,1,0,0,0,0,0,0,0,0.0921121,
2,0,16,0.25,1,3,2,9,357,7.74992,3.74996,202.5,6,2,6,0.97,0.52,1.03644,50,1,128.245,1.48,0,0,128.245,0,1,1,0,0,0,0,0,0,0,0.00877877,
2,1,16,0.25,1,3,2,10,357,7.74992,3.74996,225,6,2,8,0.97,0.52,1.03644,50,1,128.245,1.48,0,0,128.245,0,1,1,0,0,0,0,0,0,0,0.100891,
3,0,0,0.416667,1,3,2,10,357,7.74992,3.74996,225,6,2,8,0.97,0.52,1.03644,50,1,128.245,1.48,0,0,128.245,0,1,1,0,0,0,0,0,0,0,0.0175575,
3,1,16,0.416667,1,3,2,11,357,7.74992,3.74996,247.5,6,2,6,0.97,0.52,1.03644,50,1,128.245,1.48,0,0,128.245,0,1,1,0,0,0,0,0,0,0,0.10967,
4,0,0,0.583333,1,3,2,11,357,7.74992,3.74996,247.5,6,2,6,0.97,0.52,1.03644,50,1,128.245,1.48,0,0,128.245,0,1,1,0,0,0,0,0,0,0,0.0263363,
4,1,16,0.583333,1,3,2,12,357,7.74992,3.74996,270,6,2,7,0.97,0.52,1.03644,50,1,128.245,1.48,0,0,128.245,0,1,1,0,0,0,0,0,0,0,0.118448,
5,0,16,0.75,1,3,2,12,357,7.74992,3.74996,270,6,2,7,0.97,0.52,1.03644,50,1,128.245,1.48,0,0,128.245,0,1,1,0,0,0,0,0,0,0,0.0351151,
5,1,16,0.75,1,3,2,13,357,7.74992,3.74996,292.5,6,2,6,0.97,0.52,1.03644,50,1,128.245,1.48,0,0,128.245,0,1,1,0,0,0,0,0,0,0,0.127227,
6,0,16,0.916667,1,3,2,13,357,7.74992,3.74996,292.5,6,2,6,0.97,0.52,1.03644,50,1,128.245,1.48,0,0,128.245,0,1,1,0,0,0,0,0,0,0,0.0438938,
6,1,16,0.916667,1,3,2,14,357,7.74992,3.74996,315,6,2,8,0.97,0.52,1.03644,50,1,128.245,1.48,0,0,128.245,0,1,1,0,0,0,0,0,0,0,0.136006,
7,0,15,1.08333,1,3,2,14,357,7.74992,3.74996,315,6,2,8,0.97,0.52,1.03644,50,1,128.245,1.48,0,0,128.245,0,1,1,0,0,0,0,0,0,0,0.0526726,
